player_id,player_name,firstname,lastname,number,position,age,birth_date,birth_place,birth_country,nationality,height,weight,injured,rating,Our_rating,team_id,team_name,league_id,league,season,captain,shots/total,shots/on,goals/total,goals/conceded,goals/assists,goals/saves,passes/total,passes/key,passes/accuracy,tackles/total,tackles/blocks,tackles/interceptions,duels/total,duels/won,dribbles/attempts,dribbles/success,fouls/drawn,fouls/committed,cards/yellow,cards/yellowred,cards/red,penalty/won,penalty/commited,penalty/success,penalty/missed,penalty/saved,games/appearences,games/minutes_played,games/lineups,substitutes/in,substitutes/out,substitutes/bench
19016,C. Chambers,Calum,Chambers,,Defender,26,20/01/1995,Petersfield,England,England,182 cm,66 kg,,6.964285,6.7625258235512105,42,Arsenal,524,Premier League,2019-2020,0,12,2,1,0,1,0,656,7,81,26,7,16,146,77,17,11,4,18,5,0,0,0,1,0,0,0,14,1103,13,1,2,6
46792,Pablo Maru00ed,Pablo,Maru00ed Villar,,Defender,28,31/08/1993,Valencia,Spain,Spain,193 cm,87 kg,,7.0,6.727001500217667,42,Arsenal,524,Premier League,2019-2020,0,0,0,0,0,0,0,85,0,85,2,0,1,10,6,0,0,0,2,0,0,0,0,0,0,0,0,2,114,2,0,1,0
2283,David Luiz,David Luiz,Moreira Marinho,,Defender,34,22/04/1987,Diadema,Brazil,Brazil,189 cm,84 kg,,6.733333,6.499845610288408,42,Arsenal,524,Premier League,2019-2020,0,23,8,2,0,1,0,1531,4,83,28,37,32,188,98,8,5,14,30,5,0,2,0,5,0,0,0,33,2811,32,1,1,4
1460,Bukayo Saka,Bukayo,Saka,,Midfielder,20,05/09/2001,,England,England,178 cm,65 kg,,6.746153,6.7710712449802815,42,Arsenal,524,Premier League,2019-2020,0,13,4,1,0,5,0,550,21,80,36,3,12,223,103,55,32,28,22,6,0,0,0,0,0,0,0,26,1755,19,7,9,13
748,Dani Ceballos,Daniel,Ceballos Fernu00e1ndez,,Midfielder,25,07/08/1996,Sevilla,Spain,Spain,179 cm,70 kg,,6.958333000000001,6.90602367382122,42,Arsenal,524,Premier League,2019-2020,0,13,3,0,0,2,0,1100,29,84,45,3,32,241,116,36,27,35,19,1,0,0,0,0,0,0,0,24,1698,18,6,12,10
1458,M. u00d6zil,Mesut,u00d6zil,,Midfielder,33,15/10/1988,Gelsenkirchen,Germany,Germany,180 cm,76 kg,,6.95,7.0245945778721515,42,Arsenal,524,Premier League,2019-2020,0,9,3,1,0,2,0,738,39,87,17,0,5,117,52,22,16,18,14,1,0,0,0,0,0,0,0,18,1449,18,0,11,4
1456,A. Maitland-Niles,Ainsley,Maitland-Niles,,Midfielder,24,29/08/1997,London,England,England,177 cm,71 kg,,6.6,6.69582382939868,42,Arsenal,524,Premier League,2019-2020,0,4,1,0,0,2,0,688,11,80,41,3,28,171,90,34,19,13,15,5,1,0,0,0,0,0,0,20,1382,15,5,0,13
1463,J. Willock,Joseph,Willock,,Midfielder,22,20/08/1999,,England,England,179 cm,71 kg,,6.637036999999999,6.803226746805112,42,Arsenal,524,Premier League,2019-2020,0,15,5,1,0,1,0,284,13,80,25,2,4,130,67,32,21,13,10,2,0,0,0,0,0,0,0,29,844,8,21,7,27
1161,Emile Smith Rowe,Emile,Smith Rowe,,Midfielder,21,28/07/2000,,England,England,182 cm,79 kg,,6.6,6.721318130847758,42,Arsenal,524,Premier League,2019-2020,0,0,0,0,0,0,0,30,0,86,1,0,1,8,4,3,2,1,0,0,0,0,0,0,0,0,0,2,97,1,1,1,3
1464,G. Xhaka,Granit,Xhaka,,Midfielder,29,27/09/1992,Basel,Switzerland,Switzerland,185 cm,82 kg,,6.932258,6.753094416453323,42,Arsenal,524,Premier League,2019-2020,9,11,3,1,0,2,0,1677,16,84,45,16,21,305,147,32,25,32,56,10,0,0,0,1,0,0,0,31,2590,30,1,5,1
1467,A. Lacazette,Alexandre,Lacazette,,Attacker,30,28/05/1991,Lyon,France,France,175 cm,73 kg,,7.036666,7.161469123440125,42,Arsenal,524,Premier League,2019-2020,2,52,26,10,0,4,0,386,24,72,31,0,7,302,126,47,24,45,44,8,0,0,1,0,0,0,0,30,1878,22,8,13,12
1465,P. Aubameyang,Pierre-Emerick,Aubameyang,,Attacker,32,18/06/1989,Laval,France,Gabon,187 cm,80 kg,,7.172222000000001,7.490933870441,42,Arsenal,524,Premier League,2019-2020,25,93,42,22,0,3,0,590,26,71,31,1,14,264,101,38,17,20,14,3,0,1,0,0,2,0,0,36,3139,35,1,3,1
3246,N. Pu00e9pu00e9,Nicolas,Pu00e9pu00e9,,Attacker,26,29/05/1995,Mantes-la-Jolie,France,Cu00f4te d'Ivoire,178 cm,68 kg,,7.032258000000001,7.061298199802895,42,Arsenal,524,Premier League,2019-2020,0,50,18,5,0,6,0,575,40,81,32,2,8,338,162,133,72,37,14,4,0,0,0,0,1,0,0,31,2012,22,9,11,15
727,R. Nelson,Reiss,Nelson,,Attacker,22,10/12/1999,,England,England,175 cm,71 kg,,6.675,6.724600162055869,42,Arsenal,524,Premier League,2019-2020,0,11,4,1,0,0,0,177,9,86,11,2,3,87,36,32,17,8,8,1,0,0,0,0,0,0,0,17,627,7,10,6,20
1468,E. Nketiah,Edward,Nketiah,,Attacker,22,30/05/1999,,England,England,175 cm,72 kg,,6.575,6.721008807197753,42,Arsenal,524,Premier League,2019-2020,0,15,5,2,0,0,0,105,5,70,7,0,2,84,34,17,10,10,16,0,0,1,0,0,0,0,0,13,633,7,6,5,7
127769,Martinelli,Gabriel Teodoro,Martinelli Silva,,Attacker,20,18/06/2001,Guarulhos,Brazil,Brazil,180 cm,75 kg,,6.530769,6.591574558726976,42,Arsenal,524,Premier League,2019-2020,0,12,5,3,0,0,0,81,2,65,20,1,3,138,46,32,9,10,9,1,0,0,0,0,0,0,0,14,656,6,8,1,18
1457,H. Mkhitaryan,Henrikh,Mkhitaryan,,Midfielder,32,21/01/1989,Yerevan,Armenia,Armenia,177 cm,75 kg,,6.433333,6.7141445130849045,42,Arsenal,524,Premier League,2019-2020,0,2,0,0,0,0,0,55,2,84,0,0,0,19,6,7,2,2,2,1,0,0,0,0,0,0,0,3,111,1,2,1,3
1454,Mattu00e9o Guendouzi Oliu00e9,Mattu00e9o,Guendouzi Oliu00e9,,Midfielder,22,14/04/1999,Poissy,France,France,185 cm,68 kg,,6.833333000000001,6.6995517316600335,42,Arsenal,524,Premier League,2019-2020,0,11,5,0,0,1,0,1018,12,83,31,7,29,218,116,43,24,49,17,6,0,0,1,0,0,0,0,24,1747,19,5,4,10
1442,S. Kolau0161inac,Sead,Kolau0161inac,,Defender,28,20/06/1993,Karlsruhe,Germany,Bosnia and Herzegovina,183 cm,85 kg,,6.723076,6.705062108440709,42,Arsenal,524,Premier League,2019-2020,0,4,0,0,0,2,0,770,10,86,29,4,25,154,88,21,16,16,20,4,0,0,0,0,0,0,0,26,1699,19,7,5,10
1455,A. Iwobi,Alex,Iwobi,,Midfielder,25,03/05/1996,Lagos,Nigeria,Nigeria,180 cm,75 kg,,6.74,7.036307095720893,42,Arsenal,524,Premier League,2019-2020,0,23,10,0,0,0,0,444,24,78,25,2,14,149,69,52,32,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19172,u00d8rjan  Hu00e5skjold Nyland,u00d8rjan,Hu00e5skjold Nyland,,Goalkeeper,30,10/09/1990,Kristiansund,Norway,Norway,192 cm,90 kg,,6.428571,6.621952737464216,66,Aston Villa,524,Premier League,2019-2020,0,0,0,0,13,0,15,80,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,537,5,2,0,22
3245,Jonathan Kodjia,Jonathan,Kodjia,,Attacker,32,22/10/1989,Saint-Denis,France,Cu00f4te d'Ivoire,191 cm,77 kg,,6.433333,6.699293199555416,66,Aston Villa,524,Premier League,2019-2020,0,2,0,0,0,0,0,15,1,50,0,0,0,16,9,3,1,2,1,1,0,0,0,0,0,0,0,6,112,0,6,0,12
153506,Indiana Denchev Vassilev,Indiana,Denchev Vassilev,,Midfielder,20,16/02/2001,Savannah,USA,USA,175 cm,72 kg,,6.275,6.702403707556334,66,Aston Villa,524,Premier League,2019-2020,0,1,0,0,0,0,0,7,0,56,0,0,0,4,2,1,1,1,0,0,0,0,0,0,0,0,0,4,47,0,4,0,12
19533,Jota Peleteiro,Josu00e9 Ignacio,Peleteiro Ramallo,,Midfielder,30,16/06/1991,Vigo,Spain,Spain,180 cm,70 kg,,6.6,6.718732778141001,66,Aston Villa,524,Premier League,2019-2020,0,6,1,0,0,1,0,73,4,71,3,0,3,38,13,8,7,2,6,0,0,0,0,0,0,0,0,10,333,4,6,4,17
47370,Borja Bastu00f3n,Borja,Gonzu00e1lez Tomu00e1s,,Attacker,29,25/08/1992,Madrid,Spain,Spain,186 cm,83 kg,,6.35,6.711796601231866,66,Aston Villa,524,Premier League,2019-2020,0,0,0,0,0,0,0,4,0,62,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2,0,5
2288,D. Drinkwater,Daniel Noel,Drinkwater,,Midfielder,31,05/03/1990,Manchester,England,England,178 cm,79 kg,,5.9,6.669362499509887,66,Aston Villa,524,Premier League,2019-2020,0,2,0,0,0,0,0,138,1,82,5,0,5,40,7,4,1,1,7,1,0,0,0,0,0,0,0,4,263,4,0,4,3
2931,T. Heaton,Tom,Heaton,,Goalkeeper,35,15/04/1986,Chester,England,England,188 cm,85 kg,,6.83,6.50215593038981,66,Aston Villa,524,Premier League,2019-2020,0,0,0,0,35,0,68,274,0,52,3,0,0,13,11,0,0,2,1,0,0,0,0,0,0,0,0,20,1795,20,0,1,0
19174,J. Steer,Jed,Steer,,Goalkeeper,29,22/09/1992,Norwich,England,England,183 cm,80 kg,,6.3,6.701688822791672,66,Aston Villa,524,Premier League,2019-2020,0,0,0,0,2,0,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1,0,1,12
19181,N. Taylor,Neil,Taylor,,Defender,32,07/02/1989,St. Asaph,Wales,Wales,176 cm,64 kg,,6.585714,6.663580472289839,66,Aston Villa,524,Premier League,2019-2020,0,3,0,0,0,0,0,330,5,77,16,5,20,67,33,2,2,6,8,2,0,0,0,0,0,0,0,14,1089,11,3,1,16
19354,E. Konsa,Ezri,Konsa Ngoyo,,Defender,24,23/10/1997,London,England,England,183 cm,77 kg,,6.680769000000001,6.751086186460555,66,Aston Villa,524,Premier League,2019-2020,0,11,4,1,0,2,0,604,11,73,18,24,25,183,104,10,7,32,17,3,0,0,0,1,0,0,0,25,2043,24,1,5,14
19179,T. Mings,Tyrone,Mings,,Defender,28,13/03/1993,Bath,England,England,196 cm,77 kg,,6.890909,6.780576435161923,66,Aston Villa,524,Premier League,2019-2020,2,9,4,2,0,2,0,1079,7,75,15,48,30,175,105,12,12,11,20,7,0,0,0,1,0,0,0,33,2903,33,0,1,0
18941,M. Targett,Matt,Targett,,Defender,26,18/09/1995,Eastleigh,England,England,183 cm,70 kg,,6.892857000000001,6.766180039509061,66,Aston Villa,524,Premier League,2019-2020,0,7,4,1,0,2,0,688,28,71,52,8,56,234,113,21,8,17,27,4,0,0,0,0,0,0,0,28,2295,27,1,5,3
21999,B. Engels,Bjorn,Engels,,Defender,27,15/09/1994,Kaprijke,Belgium,Belgium,193 cm,83 kg,,6.741175999999999,6.6797000168696385,66,Aston Villa,524,Premier League,2019-2020,0,8,1,1,0,0,0,545,2,82,11,17,28,110,71,1,1,5,5,1,0,0,0,2,0,0,0,17,1446,15,2,1,6
21636,F. Guilbert,Fru00e9du00e9ric,Guilbert,,Defender,27,24/12/1994,Valognes,France,France,178 cm,70 kg,,6.788,6.606119198925531,66,Aston Villa,524,Premier League,2019-2020,0,8,3,0,0,2,0,516,14,67,74,10,49,336,164,48,23,21,36,7,0,0,0,0,0,0,0,25,2041,22,3,3,9
19186,Ahmed El Mohamady,Ahmed Eissa,El Mohamady Abdel Fattah,,Defender,34,09/09/1987,Basyoun,Egypt,Egypt,183 cm,75 kg,,6.727777000000001,6.868488838727094,66,Aston Villa,524,Premier League,2019-2020,0,5,1,1,0,1,0,397,22,80,19,5,13,111,60,11,7,5,13,1,0,0,0,0,0,0,0,18,1026,11,7,2,21
19177,K. Hause,Kortney,Hause,,Defender,26,16/07/1995,Redbridge,England,England,191 cm,77 kg,,6.827777,6.82240560256875,66,Aston Villa,524,Premier League,2019-2020,0,20,3,1,0,0,0,587,2,74,21,19,20,215,138,13,9,9,24,3,0,0,0,0,0,0,0,18,1544,17,1,0,3
47522,Douglas Luiz Soares de Paulo,Douglas Luiz,Soares de Paulo,,Midfielder,23,09/05/1998,Rio de Janeiro,Brazil,Brazil,175 cm,66 kg,,6.805555,6.886861625204135,66,Aston Villa,524,Premier League,2019-2020,0,38,12,3,0,2,0,998,17,81,46,15,36,309,147,45,35,36,51,8,0,0,0,1,0,0,0,36,2608,28,8,4,9
19191,J.  McGinn,John,McGinn,,Midfielder,27,18/10/1994,Glasgow,Scotland,Scotland,178 cm,68 kg,,6.932142,7.217709017339893,66,Aston Villa,524,Premier League,2019-2020,0,55,20,3,0,3,0,582,37,80,53,1,25,368,191,72,53,66,37,3,0,0,0,0,0,0,0,28,2317,27,1,6,1
19190,H. Lansbury,Henri,Lansbury,,Midfielder,31,12/10/1990,Enfield,England,England,183 cm,78 kg,,6.557142,6.672022721379012,66,Aston Villa,524,Premier League,2019-2020,0,2,0,0,0,0,0,64,2,64,6,0,0,24,9,0,0,1,4,0,0,0,0,0,0,0,0,10,188,2,8,2,27
19187,J. Grealish,Jack,Grealish,,Midfielder,26,10/09/1995,Birmingham,England,England,175 cm,68 kg,,7.377777,8.011518166354737,66,Aston Villa,524,Premier League,2019-2020,36,73,23,8,0,6,0,1164,91,84,29,12,22,471,289,117,73,167,34,8,0,0,0,0,0,1,0,36,3234,36,0,1,0
19188,C. Hourihane,Conor,Hourihane,,Midfielder,30,02/02/1991,Cork,Republic of Ireland,Republic of Ireland,180 cm,62 kg,,6.996296000000001,7.184796855523596,66,Aston Villa,524,Premier League,2019-2020,0,29,10,3,0,5,0,506,39,80,16,4,9,101,53,7,4,21,14,4,0,0,1,0,0,0,0,27,1539,18,9,14,19
2664,Tru00e9zu00e9guet,Mahmoud Ahmed Ibrahim,Hassan,,Midfielder,27,01/10/1994,Kafr el-Sheikh,Egypt,Egypt,180 cm,71 kg,,6.72647,6.920101222003888,66,Aston Villa,524,Premier League,2019-2020,0,50,17,6,0,1,0,273,21,68,38,2,25,294,128,64,30,32,35,3,1,0,1,0,0,0,0,34,1951,20,14,14,17
19195,A. El Ghazi,Anwar,El Ghazi,,Midfielder,26,03/05/1995,Barendrecht,Netherlands,Netherlands,188 cm,90 kg,,6.803030000000001,6.979878495999278,66,Aston Villa,524,Premier League,2019-2020,0,52,20,4,0,4,0,347,30,66,20,1,13,248,97,52,29,17,20,3,0,0,0,0,1,0,0,34,2060,26,8,17,11
84,Wesley,Wesley,Moraes Ferreira da Silva,,Attacker,25,26/11/1996,Juiz de Fora,Brazil,Brazil,191 cm,93 kg,,6.819047,6.824143090051504,66,Aston Villa,524,Premier League,2019-2020,0,35,18,5,0,1,0,263,11,72,15,2,4,274,110,24,12,14,43,3,0,0,0,0,0,1,0,21,1790,21,0,8,0
19185,K. Davis,Keinan,Davis,,Attacker,23,13/02/1998,,England,England,191 cm,68 kg,,6.605555000000001,6.703849500433068,66,Aston Villa,524,Premier League,2019-2020,0,17,5,0,0,0,0,100,5,75,1,0,0,131,53,20,14,11,12,0,0,0,0,0,0,0,0,18,538,4,14,4,17
1945,M. Samatta,Mbwana Ally,Samatta,,Attacker,29,23/12/1992,Dar es Salaam,Tanzania,Tanzania,183 cm,77 kg,,6.664285,6.736537459050701,66,Aston Villa,524,Premier League,2019-2020,0,17,3,1,0,0,0,117,10,69,6,0,1,178,73,15,9,18,9,1,0,0,0,0,0,0,0,14,946,11,3,6,3
1624,Pepe Reina,Josu00e9 Manuel,Reina Pu00e1ez,,Goalkeeper,39,31/08/1982,Madrid,Spain,Spain,188 cm,92 kg,,6.716666,6.605569255620336,66,Aston Villa,524,Premier League,2019-2020,0,0,0,0,20,0,33,231,1,66,0,0,0,12,9,0,0,4,1,1,0,0,0,0,0,0,1,12,1080,12,0,0,4
76,M. Nakamba,Marvelous,Nakamba,,Midfielder,27,19/01/1994,Hwange,Zimbabwe,Zimbabwe,178 cm,71 kg,,6.651724000000001,6.714144349171621,66,Aston Villa,524,Premier League,2019-2020,0,7,1,0,0,0,0,659,12,85,55,11,39,225,115,19,14,24,26,5,0,0,0,0,0,0,0,29,1835,19,10,9,15
18865,S. Francis,Simon,Francis,,Defender,35,16/02/1985,Nottingham,England,England,183 cm,90 kg,,6.692857000000001,6.739297381172857,35,Bournemouth,524,Premier League,2019-2020,10,3,0,0,0,0,0,393,5,72,13,12,20,120,66,7,4,1,7,4,1,0,0,0,0,0,0,15,965,10,5,0,9
18864,Charlie Daniels,Charlie,Daniels,,Defender,35,07/09/1986,Harlow,England,England,178 cm,75 kg,,6.45,6.734026502569187,35,Bournemouth,524,Premier League,2019-2020,0,0,0,0,0,0,0,28,2,68,1,0,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,127,2,0,1,1
18879,Andrew Surman,Andrew,Surman,,Midfielder,35,20/08/1986,Johannesburg,South Africa,England,178 cm,73 kg,,6.45,6.674166745191377,35,Bournemouth,524,Premier League,2019-2020,0,1,0,0,0,0,0,103,1,67,4,0,1,20,9,0,0,1,1,1,0,0,0,0,0,0,0,5,233,2,3,1,27
18860,Mark Travers,Mark,Travers,,Goalkeeper,22,18/05/1999,Maynooth,Republic of Ireland,Republic of Ireland,191 cm,82 kg,,5.5,6.71517472335531,35,Bournemouth,524,Premier League,2019-2020,0,0,0,0,3,0,2,15,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1,0,0,1
18863,S. Cook,Steve,Cook,,Defender,30,19/04/1991,Hastings,England,England,185 cm,82 kg,,6.782758,6.634744941014673,35,Bournemouth,524,Premier League,2019-2020,24,11,2,1,0,0,0,1007,4,73,22,23,44,246,153,3,3,15,16,6,0,1,0,2,0,0,0,29,2430,28,1,2,4
19263,L. Kelly,Lloyd,Kelly,,Defender,23,06/10/1998,,England,England,178 cm,70 kg,,6.5375,6.679250896694333,35,Bournemouth,524,Premier League,2019-2020,0,1,0,0,0,0,0,161,2,78,7,5,6,53,22,2,2,2,7,2,0,0,0,0,0,0,0,8,638,7,1,0,7
18866,C. Mepham,Chris,Mepham,,Defender,24,05/11/1997,,England,Wales,191 cm,84 kg,,6.954545,6.732944227486686,35,Bournemouth,524,Premier League,2019-2020,0,7,2,1,0,0,0,433,1,79,20,11,17,104,61,5,3,5,11,1,0,0,0,0,0,0,0,12,910,10,2,0,13
18869,A. Smith,Adam,Smith,,Defender,30,29/04/1991,London,England,England,180 cm,78 kg,,6.495833,6.531739959750892,35,Bournemouth,524,Premier League,2019-2020,0,4,1,0,0,1,0,669,10,77,47,6,25,264,145,51,24,40,25,7,0,0,0,2,0,0,0,24,2060,24,0,5,0
19769,J. Stacey,Jack,Stacey,,Defender,25,06/04/1996,Bracknell,England,England,180 cm,62 kg,,6.705263,6.710224330866912,35,Bournemouth,524,Premier League,2019-2020,0,5,2,0,0,2,0,445,10,73,21,11,18,136,74,23,16,10,10,2,0,0,0,0,0,0,0,19,1550,17,2,3,11
18867,Diego Rico,Diego,Rico Salguero,,Defender,28,23/02/1993,Burgos,Spain,Spain,183 cm,76 kg,,7.074074,6.8887704554313265,35,Bournemouth,524,Premier League,2019-2020,0,11,3,0,0,4,0,730,35,66,61,7,84,237,129,24,13,22,18,6,0,0,0,0,0,0,0,27,2336,27,0,4,10
18868,J. Simpson,Jack,Simpson,,Defender,25,18/12/1996,,England,England,178 cm,83 kg,,6.25,6.692263904062543,35,Bournemouth,524,Premier League,2019-2020,0,1,0,0,0,0,0,65,1,67,5,0,2,26,14,5,4,1,1,0,0,0,0,0,0,0,0,4,238,1,3,0,20
18861,N. Aku00e9,Nathan,Aku00e9,,Defender,26,18/02/1995,Den Haag,Netherlands,Netherlands,180 cm,75 kg,,6.993103,6.8148284365345155,35,Bournemouth,524,Premier League,2019-2020,4,25,7,2,0,2,0,1060,7,83,31,29,36,190,107,3,3,13,9,2,0,0,0,0,0,0,0,29,2505,29,0,2,1
18874,D. Gosling,Dan,Gosling,,Midfielder,31,01/02/1990,Brixham,England,England,183 cm,79 kg,,6.658333,6.7558465856143926,35,Bournemouth,524,Premier League,2019-2020,0,13,6,3,0,1,0,402,10,73,26,11,20,169,69,14,4,18,21,3,0,0,0,0,0,0,0,24,1261,14,10,7,13
18870,D. Brooks,David,Brooks,,Midfielder,24,08/07/1997,Warrington,England,Wales,173 cm,62 kg,,6.533333,6.715245585261587,35,Bournemouth,524,Premier League,2019-2020,0,6,2,1,0,0,0,113,6,73,5,1,2,65,23,24,12,6,4,1,0,0,0,0,0,0,0,9,513,8,1,8,1
2490,J. Lerma,Jefferson Andru00e9s,Lerma Solu00eds,,Midfielder,27,25/10/1994,Cerrito,Colombia,Colombia,179 cm,70 kg,,6.824242,6.821077471879069,35,Bournemouth,524,Premier League,2019-2020,0,30,2,1,0,2,0,1100,12,76,54,12,57,317,173,37,26,37,42,12,1,0,0,0,0,0,0,33,2708,31,2,6,3
18872,L. Cook,Lewis,Cook,,Midfielder,24,03/02/1997,York,England,England,175 cm,71 kg,,6.488,6.62747301760432,35,Bournemouth,524,Premier League,2019-2020,0,9,2,0,0,0,0,567,11,69,27,5,17,181,74,38,24,11,23,5,0,0,0,0,0,0,0,27,1345,14,13,6,20
18878,J. Stanislas,Junior,Stanislas,,Midfielder,32,26/11/1989,Kidbrooke,England,England,183 cm,76 kg,,6.806666000000001,6.908787829949582,35,Bournemouth,524,Premier League,2019-2020,0,18,7,3,0,0,0,200,12,78,10,0,4,65,33,18,11,4,5,1,0,0,0,0,1,0,0,15,710,7,8,6,12
2734,P. Billing,Philip,Billing,,Midfielder,25,11/06/1996,Lagos,Denmark,Denmark,193 cm,83 kg,,6.923528999999999,6.848963795858955,35,Bournemouth,524,Premier League,2019-2020,0,33,8,1,0,1,0,863,17,71,72,16,66,430,228,35,22,23,38,8,0,0,0,0,0,0,0,34,2535,29,5,10,6
18883,D. Solanke,Dominic,Solanke,,Attacker,24,14/09/1997,Reading,England,England,187 cm,80 kg,,6.533333,6.5251244647720075,35,Bournemouth,524,Premier League,2019-2020,0,32,8,3,0,1,0,300,15,63,8,1,8,342,120,62,26,23,15,1,0,0,0,0,0,0,0,32,1643,17,15,7,21
83,A. Groeneveld,Arnaut Danjuma,Groeneveld,,Attacker,24,31/01/1997,Lagos,Nigeria,Netherlands,178 cm,74 kg,,6.535714,6.65924953114827,35,Bournemouth,524,Premier League,2019-2020,0,13,4,0,0,0,0,179,5,77,4,0,8,77,32,38,21,5,0,0,0,0,0,0,0,0,0,14,626,6,8,4,13
18884,S. Surridge,Sam,Surridge,,Attacker,23,28/07/1998,Slough,England,England,191 cm,77 kg,,6.6,6.706757672234009,35,Bournemouth,524,Premier League,2019-2020,0,2,0,0,0,0,0,5,1,56,0,0,1,15,6,2,1,1,2,0,0,0,0,0,0,0,0,4,23,0,4,0,12
18881,J. King,Joshua Christian,Kojo King,,Attacker,29,15/01/1992,Oslo,Norway,Norway,180 cm,74 kg,,6.753846,6.787018003796609,35,Bournemouth,524,Premier League,2019-2020,0,26,13,6,0,4,0,361,30,70,16,3,8,376,154,107,52,27,37,0,0,0,0,0,3,0,0,26,2020,24,2,11,2
